# A 24x24 height map for surface(): one number per sample,
# rows separated by newlines, blank lines and # comments ignored.
  0.22   0.30   0.40   0.53   0.67   0.82   0.99   1.15   1.30   1.43   1.54   1.60   1.62   1.60   1.54   1.43   1.30   1.15   0.99   0.82   0.67   0.53   0.40   0.30
  0.30   0.42   0.56   0.73   0.92   1.13   1.36   1.58   1.79   1.97   2.11   2.20   2.24   2.20   2.11   1.97   1.79   1.58   1.36   1.13   0.92   0.73   0.56   0.42
  0.40   0.56   0.75   0.97   1.23   1.52   1.81   2.11   2.40   2.64   2.83   2.95   2.99   2.95   2.83   2.64   2.40   2.11   1.81   1.52   1.23   0.97   0.75   0.56
  0.53   0.73   0.97   1.26   1.60   1.97   2.36   2.75   3.12   3.44   3.69   3.84   3.90   3.84   3.69   3.44   3.12   2.75   2.36   1.97   1.60   1.26   0.97   0.73
  0.67   0.92   1.23   1.60   2.03   2.50   2.99   3.49   3.95   4.35   4.67   4.87   4.93   4.87   4.67   4.35   3.95   3.49   2.99   2.50   2.03   1.60   1.23   0.92
  0.82   1.13   1.52   1.97   2.50   3.08   3.69   4.29   4.87   5.36   5.75   5.99   6.08   5.99   5.75   5.36   4.87   4.29   3.69   3.08   2.50   1.97   1.52   1.13
  0.99   1.36   1.81   2.36   2.99   3.69   4.41   5.14   5.83   6.42   6.89   7.18   7.28   7.18   6.89   6.42   5.83   5.14   4.41   3.69   2.99   2.36   1.81   1.36
  1.15   1.58   2.11   2.75   3.49   4.29   5.14   5.99   6.79   7.48   8.02   8.36   8.48   8.36   8.02   7.48   6.79   5.99   5.14   4.29   3.49   2.75   2.11   1.58
  1.30   1.79   2.40   3.12   3.95   4.87   5.83   6.79   7.69   8.48   9.09   9.48   9.61   9.48   9.09   8.48   7.69   6.79   5.83   4.87   3.95   3.12   2.40   1.79
  1.43   1.97   2.64   3.44   4.35   5.36   6.42   7.48   8.48   9.35  10.02  10.44  10.59  10.44  10.02   9.35   8.48   7.48   6.42   5.36   4.35   3.44   2.64   1.97
  1.54   2.11   2.83   3.69   4.67   5.75   6.89   8.02   9.09  10.02  10.74  11.19  11.35  11.19  10.74  10.02   9.09   8.02   6.88   5.75   4.66   3.68   2.83   2.11
  1.60   2.20   2.95   3.84   4.87   5.99   7.18   8.36   9.48  10.44  11.19  11.67  11.83  11.67  11.19  10.44   9.47   8.36   7.17   5.98   4.85   3.83   2.94   2.20
  1.62   2.24   2.99   3.90   4.93   6.08   7.28   8.48   9.61  10.59  11.35  11.83  12.00  11.83  11.35  10.59   9.60   8.46   7.25   6.04   4.90   3.86   2.96   2.21
  1.60   2.20   2.95   3.84   4.87   5.99   7.18   8.36   9.48  10.44  11.19  11.67  11.83  11.67  11.19  10.43   9.45   8.31   7.10   5.89   4.75   3.73   2.86   2.13
  1.54   2.11   2.83   3.69   4.67   5.75   6.89   8.02   9.09  10.02  10.74  11.19  11.35  11.19  10.72   9.98   9.01   7.89   6.69   5.49   4.38   3.40   2.59   1.93
  1.43   1.97   2.64   3.44   4.35   5.36   6.42   7.48   8.48   9.35  10.02  10.44  10.59  10.43   9.98   9.26   8.31   7.19   5.98   4.79   3.70   2.79   2.09   1.56
  1.30   1.79   2.40   3.12   3.95   4.87   5.83   6.79   7.69   8.48   9.09   9.47   9.60   9.45   9.01   8.31   7.35   6.21   4.95   3.73   2.66   1.85   1.30   0.97
  1.15   1.58   2.11   2.75   3.49   4.29   5.14   5.99   6.79   7.48   8.02   8.36   8.46   8.31   7.89   7.19   6.21   4.99   3.64   2.34   1.27   0.57   0.24   0.18
  0.99   1.36   1.81   2.36   2.99   3.69   4.41   5.14   5.83   6.42   6.88   7.17   7.25   7.10   6.69   5.98   4.95   3.64   2.17   0.76  -0.32  -0.91  -0.99  -0.74
  0.82   1.13   1.52   1.97   2.50   3.08   3.69   4.29   4.87   5.36   5.75   5.98   6.04   5.89   5.49   4.79   3.73   2.34   0.76  -0.73  -1.82  -2.28  -2.14  -1.60
  0.67   0.92   1.23   1.60   2.03   2.50   2.99   3.49   3.95   4.35   4.66   4.85   4.90   4.75   4.38   3.70   2.66   1.27  -0.32  -1.82  -2.86  -3.22  -2.91  -2.17
  0.53   0.73   0.97   1.26   1.60   1.97   2.36   2.75   3.12   3.44   3.68   3.83   3.86   3.73   3.40   2.79   1.85   0.57  -0.91  -2.28  -3.22  -3.49  -3.11  -2.32
  0.40   0.56   0.75   0.97   1.23   1.52   1.81   2.11   2.40   2.64   2.83   2.94   2.96   2.86   2.59   2.09   1.30   0.24  -0.99  -2.14  -2.91  -3.11  -2.76  -2.06
  0.30   0.42   0.56   0.73   0.92   1.13   1.36   1.58   1.79   1.97   2.11   2.20   2.21   2.13   1.93   1.56   0.97   0.18  -0.74  -1.60  -2.17  -2.32  -2.06  -1.54
